"Query built by concatenation with a possibly-untrusted string","Building a SQL or Java Persistence query by concatenating a possibly-untrusted string is vulnerable to insertion of malicious code.","error","Query built by concatenation with [[""this expression""|""relative:///src/main/java/UserSearch.java:15:101:15:108""]], which may be untrusted.
Query built by concatenation with [[""this expression""|""relative:///src/main/java/UserSearch.java:15:67:15:74""]], which may be untrusted.","/src/main/java/UserSearch.java","19","58","19","62"
"Query built from local-user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","recommendation","This query depends on a [[""user-provided value""|""relative:///src/main/java/UserSearch.java:10:39:10:47""]].","/src/main/java/UserSearch.java","19","58","19","62"
"Hard-coded credential in API call","Using a hard-coded credential in a call to a sensitive Java API may compromise security.","error","Hard-coded value flows to [[""sensitive API call""|""relative:///src/main/java/UserSearch.java:17:107:17:112""]].","/src/main/java/UserSearch.java","17","107","17","112"
"Hard-coded credential in API call","Using a hard-coded credential in a call to a sensitive Java API may compromise security.","error","Hard-coded value flows to [[""sensitive API call""|""relative:///src/main/java/UserSearch.java:17:115:17:124""]].","/src/main/java/UserSearch.java","17","115","17","124"
