severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
BLOCKER	2024-03-22T10:52:16+0100		11.0		java:S6437	A02-Prompt2	1h		Revoke and change this password, as it is compromised.	2024-03-22T10:52:16+0100	VULNERABILITY	false	"cwe / owasp-a2 / "	A02-Prompt2:src/main/java/Main.java	"{locations=[{component=A02-Prompt2:src/main/java/Main.java, textRange={startLine=9.0, endLine=9.0, startOffset=27.0, endOffset=45.0}, msg=The static value is defined here., msgFormattings=[]}]} / "	MAIN	{startLine=11.0, endLine=11.0, startOffset=51.0, endOffset=93.0}	1h	AY5lk2ZnSDR9JrBcDWoc	04a88fbc311f07f4f78005b69d4da9fb	OPEN
CRITICAL	2024-03-22T10:52:16+0100		13.0		java:S5542	A02-Prompt2	20min		Use a secure cipher mode.	2024-03-22T10:52:16+0100	VULNERABILITY	false	"cwe / owasp-a3 / owasp-a6 / owasp-m5 / privacy / sans-top25-porous / "	A02-Prompt2:src/main/java/Main.java		MAIN	{startLine=13.0, endLine=13.0, startOffset=43.0, endOffset=65.0}	20min	AY5lk2ZnSDR9JrBcDWod	e1baa856b2823e3fe52813ef1783e20d	OPEN
